,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type,publicationyear,age,agecategory,timeperiod
16129,PG24518_text.txt,Memoirs of Extraordinary Popular Delusions and the Madness of Crowds,"Mackay, Charles",1814.0,1889.0,['en'],905.0,"{'Social psychology', 'Delusions', 'Hallucinations and illusions', 'Stock exchanges -- Psychological aspects', 'Swindlers and swindling', 'Common fallacies', 'Impostors and imposture', 'Investments -- Psychological aspects', 'Occultism -- Early works to 1900', 'Alchemy'}",Text,3,1841,27.0,1
6508,PG15859_text.txt,The Piazza Tales,"Melville, Herman",1819.0,1891.0,['en'],889.0,"{'Manners and customs -- Fiction', 'Short stories'}",Text,3,1855,36.0,2
58861,PG967_text.txt,Nicholas Nickleby,"Dickens, Charles",1812.0,1870.0,['en'],885.0,"{'England -- Social life and customs -- 19th century -- Fiction', 'Picaresque literature', 'Bildungsromans', 'Theatrical companies -- Fiction', 'England -- Fiction', 'Poor families -- Fiction', 'Young men -- Fiction', 'Boarding schools -- Fiction'}",Text,2,1839,27.0,1
2555,PG122_text.txt,The Return of the Native,"Hardy, Thomas",1840.0,1928.0,['en'],878.0,"{'Mate selection -- Fiction', 'People with visual disabilities -- Fiction', 'Love stories', 'Adultery -- Fiction', 'Wessex (England) -- Fiction', 'Mothers and sons -- Fiction', 'Heathlands -- Fiction', 'Didactic fiction'}",Text,4,1878,38.0,2
54948,PG6157_text.txt,"What Men Live By, and Other Tales","Tolstoy, Leo, graf",1828.0,1910.0,['en'],878.0,"{'Peasants -- Russia -- Fiction', 'Russia -- Fiction'}",Text,5,1885,57.0,3
7989,PG17192_text.txt,The Raven,"Poe, Edgar Allan",1809.0,1849.0,['en'],863.0,"{'Ravens -- Poetry', 'Fantasy poetry, American'}",Text,3,1845,36.0,2
28772,PG35898_text.txt,The Seven Lamps of Architecture,"Ruskin, John",1819.0,1900.0,['en'],862.0,{'Architecture'},Text,3,1849,30.0,1
6666,PG15_text.txt,Moby Dick,"Melville, Herman",1819.0,1891.0,['en'],852.0,"{'Mentally ill -- Fiction', 'Ahab, Captain (Fictitious character) -- Fiction', 'Whaling -- Fiction', 'Whaling ships -- Fiction', 'Psychological fiction', 'Adventure stories', 'Sea stories', 'Whales -- Fiction', 'Ship captains -- Fiction'}",Text,3,1850,31.0,1
31269,PG38145_text.txt,"Human, All Too Human: A Book for Free Spirits","Nietzsche, Friedrich Wilhelm",1844.0,1900.0,['en'],850.0,{'Human beings'},Text,4,1880,36.0,2
10372,PG19337_text.txt,A Christmas Carol,"Dickens, Charles",1812.0,1870.0,['en'],844.0,"{'London (England) -- Fiction', 'Sick children -- Fiction', 'Ghost stories', 'Misers -- Fiction', 'Poor families -- Fiction', 'Scrooge, Ebenezer (Fictitious character) -- Fiction', 'Christmas stories'}",Text,3,1843,31.0,1
55537,PG6688_text.txt,The Mill on the Floss,"Eliot, George",1819.0,1880.0,['en'],842.0,"{'Loss (Psychology) -- Fiction', 'Domestic fiction', 'England -- Fiction', 'Water mills -- Fiction', 'Brothers and sisters -- Fiction', 'Love stories', 'Vendetta -- Fiction', 'Young women -- Fiction', 'Conflict of generations -- Fiction', 'Psychological fiction'}",Text,3,1860,41.0,2
32218,PG389_text.txt,The Great God Pan,"Machen, Arthur",1863.0,1947.0,['en'],837.0,"{'Paranormal fiction', 'Horror tales'}",Text,5,1894,31.0,1
25208,PG3268_text.txt,The Mysteries of Udolpho,"Radcliffe, Ann Ward",1764.0,1823.0,['en'],823.0,"{'Young women -- Fiction', 'Italy -- Fiction', 'Castles -- Fiction', 'Guardian and ward -- Fiction', 'Orphans -- Fiction', 'Inheritance and succession -- Fiction', 'Gothic fiction', 'Horror tales'}",Text,0,1794,30.0,1
2328,PG12096_text.txt,"Bushido, the Soul of Japan","Nitobe, Inazo",1862.0,1933.0,['en'],810.0,"{'Japan -- Social life and customs', 'Samurai -- History', 'Philosophy, Japanese', 'Bushido', 'Ethics -- Japan', 'Japan -- Civilization'}",Text,5,1900,38.0,2
5999,PG153_text.txt,Jude the Obscure,"Hardy, Thomas",1840.0,1928.0,['en'],806.0,"{'Unmarried couples -- Fiction', 'Love stories', 'Adultery -- Fiction', 'Wessex (England) -- Fiction', 'Illegitimate children -- Fiction', 'Children -- Death -- Fiction', 'Stonemasons -- Fiction', 'Didactic fiction'}",Text,5,1895,55.0,3
34440,PG4099_text.txt,The Angel in the House,"Patmore, Coventry",1823.0,1896.0,['en'],800.0,"{'Husband and wife -- Poetry', 'Women -- Conduct of life -- Poetry', 'Marriage -- Poetry'}",Text,3,1847,24.0,0
55896,PG700_text.txt,The Old Curiosity Shop,"Dickens, Charles",1812.0,1870.0,['en'],794.0,"{'Grandfathers -- Fiction', 'Girls -- Fiction', 'Domestic fiction', 'England -- Fiction', 'Grandparent and child -- Fiction', 'Antique dealers -- Fiction', 'Gamblers -- Fiction', 'Didactic fiction'}",Text,3,1841,29.0,1
5777,PG151_text.txt,The Rime of the Ancient Mariner,"Coleridge, Samuel Taylor",1772.0,1834.0,['en'],776.0,{'Poetry'},Text,1,1817,45.0,2
2643,PG1237_text.txt,Father Goriot,"Balzac, Honoré de",1799.0,1850.0,['en'],774.0,"{'Fathers and daughters -- Fiction', 'French fiction -- Translations into English', 'Paris (France) -- Fiction', 'France -- History -- Louis XVIII, 1814-1824 -- Fiction', 'Older men -- Fiction'}",Text,2,1834,35.0,2
12798,PG2151_text.txt,The Works of Edgar Allan Poe — Volume 5,"Poe, Edgar Allan",1809.0,1849.0,['en'],771.0,"{'Horror tales, American', 'American poetry', 'American fiction -- 19th century', 'Fantasy fiction'}",Text,2,1829,20.0,0
2987,PG1268_text.txt,The Mysterious Island,"Verne, Jules",1828.0,1905.0,['en'],765.0,"{'Science fiction', 'Islands of the Pacific -- Fiction', 'Adventure stories', 'Castaways -- Fiction'}",Text,5,1882,54.0,3
910,PG1081_text.txt,Dead Souls,"Gogol, Nikolai Vasilevich",1809.0,1852.0,['en'],761.0,"{'Satire', 'Russia -- Social life and customs -- 1533-1917 -- Fiction', 'Swindlers and swindling -- Russia -- Fiction', 'Humorous stories'}",Text,3,1842,33.0,1
11977,PG20781_text.txt,Heidi: (Gift Edition),"Spyri, Johanna",1827.0,1901.0,['en'],760.0,"{'Grandfathers -- Fiction', 'Orphans -- Fiction', 'Mountain life -- Switzerland -- Fiction', 'Switzerland -- History -- 19th century -- Fiction'}",Text,5,1881,54.0,3
21608,PG2944_text.txt,Essays — First Series,"Emerson, Ralph Waldo",1803.0,1882.0,['en'],754.0,{'American essays -- 19th century'},Text,3,1841,38.0,2
21063,PG2895_text.txt,Following the Equator: A Journey Around the World,"Twain, Mark",1835.0,1910.0,['en'],751.0,"{'Twain, Mark, 1835-1910 -- Travel', 'Voyages around the world', 'Equator -- Description and travel'}",Text,5,1897,62.0,3
8691,PG17824_text.txt,Little Black Sambo,"Bannerman, Helen",1862.0,1946.0,['en'],748.0,"{'Tiger -- Juvenile fiction', 'Pride and vanity -- Juvenile fiction', ""Children's stories"", 'Boys -- Juvenile fiction', 'India -- Juvenile fiction'}",Text,5,1899,37.0,2
23058,PG30754_text.txt,"The Stones of Venice, Volume 1 (of 3)","Ruskin, John",1819.0,1900.0,['en'],734.0,{'Architecture -- Italy -- Venice'},Text,3,1853,34.0,1
47243,PG52521_text.txt,Grimm's Fairy Tales,"Grimm, Wilhelm",1786.0,1859.0,['en'],733.0,"{'Fairy tales -- Germany', ""Children's stories, German -- Translations into English"", 'Fairy tales'}",Text,3,1857,71.0,4
151,PG10136_text.txt,The Book of Household Management,"Beeton, Mrs. (Isabella Mary)",1836.0,1865.0,['en'],731.0,"{'Cooking, English', 'Home economics'}",Text,4,1861,25.0,1
54796,PG601_text.txt,The Monk: A Romance,"Lewis, M. G. (Matthew Gregory)",1775.0,1818.0,['en'],725.0,"{'Monks -- Fiction', 'Madrid (Spain) -- Fiction', 'Gothic fiction', 'Horror tales'}",Text,0,1796,21.0,0
24208,PG3178_text.txt,The Gilded Age: A Tale of Today,"Warner, Charles Dudley",1829.0,1900.0,['en'],722.0,"{'Legislators -- Fiction', 'Businessmen -- Fiction', 'Satire', 'Political fiction', 'Political corruption -- Fiction', 'Washington (D.C.) -- Fiction', 'Speculation -- Fiction'}",Text,5,1900,71.0,4
35663,PG4209_text.txt,At the Mercy of Tiberius,"Evans, Augusta J. (Augusta Jane)",1835.0,1909.0,['en'],710.0,"{'Rome -- History -- Tiberius, 14-37 -- Fiction'}",Text,4,1868,33.0,1
11653,PG2048_text.txt,The Sketch-Book of Geoffrey Crayon,"Irving, Washington",1783.0,1859.0,['en'],708.0,"{'Catskill Mountains Region (N.Y.) -- Fiction', 'Hudson River Valley (N.Y. and N.J.) -- Fiction', 'Fantasy fiction, American', 'Americans -- England -- History -- 19th century', 'Irving, Washington, 1783-1859 -- Travel -- England', 'England -- Social life and customs -- 19th century'}",Text,1,1820,37.0,2
